,S.no,State,Year ,Total Population,Male Population,Female Population,Total_Literacy in %,Males_Literacy in %,Females_Literacy in %,Total Literacy,Male Literacy,Female Literacy,Area in SQKM,Literacy Rate,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
293,294,Manipur,2009,2709105,1298083,1411022,72.19,82.27,62.13,1955703,1067933,876668,"22,327",722,2001,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,2489
294,295,Mizoram,2009,1010607,504224,506383,92.75,95.82,89.64,937338,483147,453922,"21,081",928,2001,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,2246
295,296,Tripura,2009,3619311,1736922,1882389,77.21,86.08,68.07,2794470,1495142,1281342,"10,491",772,2001,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2801
296,297,Meghalaya,2009,2615463,1323881,1291582,66.36,69.88,62.87,1735621,925128,812018,"22,429",664,2001,164,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,1687
297,298,Assam,2009,30212352,14730351,15482001,67.38,76.0,58.31,20357083,11195067,9027555,"78,438",674,2001,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877
298,299,West Bengal,2009,90984053,43729519,47254534,72.56,81.97,62.67,66018029,35845087,29614416,"88,752",726,2001,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,61563
299,300,Jharkhand,2009,30519734,15201058,15318677,56.74,71.78,40.98,17316897,10911319,6277594,"79,716",567,2001,1507,866,143,567,0,567,441,279,162,636,48,647,1266,3827,754,3073,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,25447
300,301,Orissa,2009,41631708,1073162977,-1031531269,66.68,80.25,53.04,27760023,861213289,-547124185,155707,667,2001,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,46661
301,302,Chhatisgarh,2009,23586048,11462720,12123328,68.32,82.26,54.53,16113988,9429233,6610851,135192,683,2001,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,38460
302,303,Madhya Pradesh,2009,68486694,32737389,35749305,67.2,81.14,52.33,46023058,26563117,18707611,"308,252",672,2001,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,181741
303,304,Gujarat,2009,57385343,28526834,28858509,73.34,85.05,60.99,42086411,24262072,17600805,"196,024",733,2001,1226,537,94,286,0,286,998,857,141,327,19,991,5142,15834,5504,10330,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,103419
304,305,Daman & Diu,2009,179265,114090,65175,85.0,93.4,73.23,152375,106560,47728,112,850,2001,7,5,0,0,0,0,5,3,2,0,0,0,43,40,20,20,23,5,9,1,3,21,0,0,0,4,0,0,73,239
305,306,Dadra & Nagar Haveli,2009,250028,124187,125841,62.92,77.47,44.74,157318,96208,56301,491,629,2001,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,350
306,307,Maharashtra,2009,109733023,53775185,55957838,80.99,91.15,70.26,88872775,49016081,39315977,"307,713",810,2001,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,171233
307,308,Andhra Pradesh,2009,85887535,39845354,46042181,64.05,74.86,53.25,55010966,29828232,24517461,"162,975",640,2001,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,130089
308,309,Karnataka,2009,59809015,28510663,31298353,70.27,80.6,59.79,42027795,22979594,18713285,"191,791",703,2001,1626,1475,74,293,0,293,559,271,288,178,36,847,6394,12868,4016,8852,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,109098
309,310,Goa,2009,1524316,703928,820388,86.29,93.91,78.58,1315332,661059,644661,"3,702",863,2001,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,2341
310,311,Lakshadweep,2009,68725,31746,36979,91.74,98.42,84.88,63048,31244,31388,32,917,2001,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36
311,312,Kerala,2009,36110251,15780758,20329493,95.3,99.53,91.44,34413069,15706588,18589288,"38,863",953,2001,472,615,111,562,0,562,183,97,86,176,13,517,4474,5441,1795,3646,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,103847
312,313,Tamil Nadu,2009,70443947,33194767,37249180,77.01,86.99,67.18,54248884,28876128,25023999,"130,058",770,2001,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,154801
313,314,Pondicherry,2009,1104483,544392,560090,85.42,93.92,77.15,943449,511293,432109,479,854,2001,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068
314,315,Andaman & Nicobar Islands*,2009,404063,196879,207185,85.09,90.94,78.35,343817,179042,162329,8249,851,2001,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,658
315,316,Jammu and Kashmir,2010,11579700,5880338,5699362,57.42,69.95,43.74,6649064,4113296,2492901,"42,241",574,2001,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,19505
316,317,Himachal Pradesh,2010,6988410,3273434,3714976,81.32,91.51,71.21,5682975,2995519,2645434,"55,673",813,2001,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,11499
317,318,Punjab,2010,27930990,13754031,14176960,73.75,80.46,66.47,20599105,11066493,9423425,"50,362",737,2001,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,27774
318,319,Chandigarh,2010,1035988,551395,484593,86.21,91.12,80.17,893125,502431,388498,114,862,2001,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397
319,320,Uttaranchal,2010,9750903,4720784,5030119,76.21,89.37,63.03,7431163,4218965,3170484,20650,762,2001,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,8073
320,321,Haryana,2010,24243962,12566650,11677312,72.32,84.31,58.9,17533233,10594943,6877937,"44,212",723,2001,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,38759
321,322,Delhi,2010,15849458,8398976,7450482,86.27,92.95,78.44,13673327,7806848,5844158,1484,863,2001,547,510,63,381,0,381,1627,964,663,48,74,624,3029,19276,7894,11382,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384
322,323,Rajasthan,2010,64940138,32857277,32082860,64.35,81.34,46.38,41788979,26726109,14880030,"342,239",644,2001,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,155185
323,324,Uttar Pradesh,2010,190949165,97033154,93916012,60.48,74.71,44.95,115486055,72493469,42215247,"240,928",605,2001,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129
324,325,Bihar,2010,95304814,48258740,47046074,50.11,64.17,35.11,47757242,30967633,16517877,"94,163",501,2001,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,88432
325,326,Sikkim,2010,621529,305796,315733,73.47,81.63,64.28,456637,249621,202953,"7,096",735,2001,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,444
326,327,Arunachal Pradesh,2010,1254708,636728,617980,57.72,68.16,46.27,724217,433994,285939,"83,743",577,2001,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342
327,328,Nagaland,2010,2286792,1065360,1221433,70.76,76.35,64.76,1618134,813402,791000,"16,579",708,2001,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1234
328,329,Manipur,2010,2746762,1309896,1436866,72.61,82.84,62.44,1994424,1085118,897179,"22,327",726,2001,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,2489
329,330,Mizoram,2010,1024654,510073,514581,93.3,96.48,90.08,956002,492118,463535,"21,081",933,2001,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,2246
330,331,Tripura,2010,3669620,1749949,1919671,77.66,86.67,68.41,2849827,1516681,1313247,"10,491",777,2001,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2801
331,332,Meghalaya,2010,2651818,1344799,1307019,66.75,70.36,63.18,1770089,946201,825775,"22,429",668,2001,164,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,1687
332,333,Assam,2010,30632304,14852612,15779691,67.77,76.52,58.6,20759512,11365219,9246899,"78,438",678,2001,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877
333,334,West Bengal,2010,92248732,44018134,48230597,72.98,82.53,62.98,67323125,36328166,30375630,"88,752",730,2001,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,61563
334,335,Jharkhand,2010,30943959,15377390,15566569,57.07,72.28,41.19,17659717,11114777,6411870,"79,716",571,2001,1507,866,143,567,0,567,441,279,162,636,48,647,1266,3827,754,3073,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,25447
335,336,Orissa,2010,42210389,1781450542,-1739240154,67.07,80.8,53.31,28310508,1439412038,-927188926,155707,671,2001,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,46661
336,337,Chhatisgarh,2010,23913894,11595687,12318207,68.72,82.83,54.81,16433628,9604708,6751609,135192,687,2001,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,38460
337,338,Madhya Pradesh,2010,69438659,32901076,36537583,67.6,81.7,52.59,46940533,26880179,19215115,"308,252",676,2001,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,181741
338,339,Gujarat,2010,58182999,28812103,29370897,73.77,85.64,61.29,42921598,24674685,18001423,"196,024",738,2001,1226,537,94,286,0,286,998,857,141,327,19,991,5142,15834,5504,10330,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,103419
339,340,Daman & Diu,2010,181757,117125,64632,85.5,94.04,73.6,155402,110144,47569,112,855,2001,7,5,0,0,0,0,5,3,2,0,0,0,43,40,20,20,23,5,9,1,3,21,0,0,0,4,0,0,73,239
340,341,Dadra & Nagar Haveli,2010,253503,124497,129006,63.29,78.0,44.96,160442,97108,58001,491,633,2001,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,350
341,342,Maharashtra,2010,111258312,54221519,57036793,81.47,91.78,70.61,90642147,49764510,40273680,"307,713",815,2001,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,171233
342,343,Andhra Pradesh,2010,87081372,40044581,47036791,64.43,75.37,53.52,56106528,30181601,25174091,"162,975",644,2001,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,130089
343,344,Karnataka,2010,60640361,28724493,31915868,70.69,81.16,60.09,42866671,23312799,19178245,"191,791",707,2001,1626,1475,74,293,0,293,559,271,288,178,36,847,6394,12868,4016,8852,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,109098
344,345,Goa,2010,1545504,706251,839253,86.8,94.55,78.98,1341497,667760,662842,"3,702",868,2001,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,2341
345,346,Lakshadweep,2010,69680,31825,37855,92.28,99.1,85.3,64301,31539,32290,32,923,2001,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36
346,347,Kerala,2010,36612183,15820210,20791974,95.86,100.21,91.89,35096439,15853432,19105745,"38,863",959,2001,472,615,111,562,0,562,183,97,86,176,13,517,4474,5441,1795,3646,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,103847
347,348,Tamil Nadu,2010,71423118,33443728,37979390,77.46,87.59,67.51,55324347,29293361,25639886,"130,058",775,2001,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,154801
348,349,Pondicherry,2010,1119835,552068,567767,85.92,94.56,77.53,962162,522036,440190,479,859,2001,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068
349,350,Andaman & Nicobar Islands*,2010,409680,197371,212309,85.59,91.56,78.75,350645,180713,167193,8249,856,2001,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,658
350,351,Jammu and Kashmir,2011,11738342,5948550,5789792,57.76,70.43,43.96,6780066,4189564,2545193,"42,241",578,2001,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,19505
351,352,Himachal Pradesh,2011,7084151,3295038,3789113,81.8,92.14,71.56,5794836,3036048,2711489,"55,673",818,2001,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,11499
352,353,Punjab,2011,28313645,13844807,14468838,74.19,81.01,66.8,21005893,11215678,9665184,"50,362",742,2001,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,27774
353,354,Chandigarh,2011,1050181,556413,493768,86.71,91.75,80.57,910612,510509,397829,114,867,2001,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397
354,355,Uttaranchal,2011,9884490,4767992,5116498,76.66,89.99,63.34,7577450,4290716,3240790,20650,767,2001,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,8073
355,356,Haryana,2011,24576104,12712423,11863681,72.75,84.89,59.19,17879116,10791576,7022113,"44,212",728,2001,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,38759
356,357,Delhi,2011,16066595,8496404,7570191,86.78,93.59,78.84,13942591,7951785,5968339,1484,868,2001,547,510,63,381,0,381,1627,964,663,48,74,624,3029,19276,7894,11382,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384
357,358,Rajasthan,2011,65829817,33267993,32561824,64.73,81.9,46.61,42611641,27246486,15177066,"342,239",647,2001,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,155185
358,359,Uttar Pradesh,2011,193565169,98158738,95406431,60.84,75.23,45.18,117765049,73844819,43104626,"240,928",608,2001,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129
359,360,Bihar,2011,96610490,48861975,47748516,50.41,64.61,35.29,48701348,31569722,16850451,"94,163",504,2001,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,88432
360,361,Sikkim,2011,630044,307814,322230,73.9,82.19,64.6,465603,252992,208161,"7,096",739,2001,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,444
361,362,Arunachal Pradesh,2011,1271898,644114,627783,58.06,68.63,46.5,738464,442055,291919,"83,743",581,2001,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342
362,363,Nagaland,2011,2318121,1068023,1250098,71.18,76.88,65.09,1650039,821096,813689,"16,579",712,2001,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1234
363,364,Manipur,2011,2784393,1321816,1462577,73.04,83.41,62.75,2033721,1102527,917767,"22,327",730,2001,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,2489
364,365,Mizoram,2011,1038692,515990,522702,93.85,97.15,90.53,974812,501284,473202,"21,081",938,2001,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,2246
365,366,Tripura,2011,3719894,1763074,1956820,78.12,87.27,68.76,2905981,1538635,1345509,"10,491",781,2001,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2801
366,367,Meghalaya,2011,2688148,1366046,1322102,67.15,70.85,63.5,1805091,967844,839535,"22,429",671,2001,164,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,1687
367,368,Assam,2011,31051966,14975889,16076077,68.17,77.05,58.9,21168125,11538922,9468809,"78,438",682,2001,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877
368,369,West Bengal,2011,93512539,44308654,49203885,73.41,83.1,63.3,68647555,36820491,31146059,"88,752",734,2001,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,61563
369,370,Jharkhand,2011,31367891,15555768,15812123,57.41,72.78,41.39,18008306,11321488,6544638,"79,716",574,2001,1507,866,143,567,0,567,441,279,162,636,48,647,1266,3827,754,3073,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,25447
370,371,Orissa,2011,42788671,2957207900,-2914419229,67.46,81.36,53.58,28865237,2405984347,-1561545823,155707,675,2001,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,46661
371,372,Chhatisgarh,2011,24241514,11730197,12511317,69.13,83.4,55.08,16758159,9782984,6891233,135192,691,2001,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,38460
372,373,Madhya Pradesh,2011,70389969,33065582,37324387,67.99,82.27,52.85,47858140,27203054,19725939,"308,252",680,2001,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,181741
373,374,Gujarat,2011,58980106,29100224,29879883,74.21,86.23,61.6,43769137,25093123,18406008,"196,024",742,2001,1226,537,94,286,0,286,998,857,141,327,19,991,5142,15834,5504,10330,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,103419
374,375,Daman & Diu,2011,184247,120241,64006,86.0,94.69,73.97,158452,113856,47345,112,860,2001,7,5,0,0,0,0,5,3,2,0,0,0,43,40,20,20,23,5,9,1,3,21,0,0,0,4,0,0,73,239
375,376,Dadra & Nagar Haveli,2011,256976,124809,132167,63.67,78.54,45.19,163617,98025,59726,491,637,2001,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,350
376,377,Maharashtra,2011,112782551,54671557,58110993,81.95,92.41,70.96,92425301,50521986,41235561,"307,713",820,2001,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,171233
377,378,Andhra Pradesh,2011,88274387,40244804,48029583,64.81,75.89,53.79,57210630,30541782,25835113,"162,975",648,2001,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,130089
378,379,Karnataka,2011,61471134,28939926,32531207,71.1,81.72,60.39,43705976,23649708,19645596,"191,791",711,2001,1626,1475,74,293,0,293,559,271,288,178,36,847,6394,12868,4016,8852,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,109098
379,380,Goa,2011,1566677,708581,858096,87.31,95.21,79.37,1367866,674640,681071,"3,702",873,2001,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,2341
380,381,Lakshadweep,2011,70635,31905,38730,92.82,99.78,85.73,65563,31835,33203,32,928,2001,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36
381,382,Kerala,2011,37113770,15859760,21254010,96.43,100.91,92.35,35788808,16004084,19628078,"38,863",964,2001,472,615,111,562,0,562,183,97,86,176,13,517,4474,5441,1795,3646,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,103847
382,383,Tamil Nadu,2011,72401614,33694556,38707058,77.92,88.19,67.85,56415338,29715229,26262739,"130,058",779,2001,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,154801
383,384,Pondicherry,2011,1135177,559853,575324,86.43,95.22,77.92,981133,533092,448292,479,864,2001,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068
384,385,Andaman & Nicobar Islands*,2011,415292,197864,217428,86.1,92.2,79.14,357566,182431,172073,8249,861,2001,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,658
385,386,Jammu and Kashmir,2012,11895635,6017553,5878082,58.1,70.92,44.18,6911364,4267649,2596937,"42,241",581,2001,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,19505
386,387,Himachal Pradesh,2012,7179079,3316786,3862293,82.29,92.78,71.92,5907664,3077314,2777761,"55,673",823,2001,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,11499
387,388,Punjab,2012,28693048,13936183,14756865,74.63,81.57,67.13,21413622,11367744,9906283,"50,362",746,2001,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,27774
388,389,Chandigarh,2012,1064254,561476,502777,87.23,92.38,80.97,928349,518692,407099,114,872,2001,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397
389,390,Uttaranchal,2012,10016942,4815672,5201270,77.11,90.61,63.66,7724064,4363480,3311128,20650,771,2001,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,8073
390,391,Haryana,2012,24905424,12859887,12045537,73.18,85.48,59.49,18225789,10992631,7165890,"44,212",732,2001,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,38759
391,392,Delhi,2012,16281888,8594962,7686926,87.29,94.23,79.23,14212460,8099033,6090351,1484,873,2001,547,510,63,381,0,381,1627,964,663,48,74,624,3029,19276,7894,11382,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384
392,393,Rajasthan,2012,66711937,33683843,33028094,65.11,82.47,46.84,43436142,27779065,15470359,"342,239",651,2001,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,155185
393,394,Uttar Pradesh,2012,196158942,99297380,96861562,61.19,75.75,45.4,120029657,75217765,43975149,"240,928",612,2001,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129
394,395,Bihar,2012,97905071,49472749,48432322,50.71,65.06,35.46,49647662,32186970,17174101,"94,163",507,2001,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,88432
395,396,Sikkim,2012,638487,309846,328641,74.34,82.76,64.93,474651,256429,213387,"7,096",743,2001,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,444
396,397,Arunachal Pradesh,2012,1288941,651586,637355,58.4,69.1,46.73,752742,450246,297836,"83,743",584,2001,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342
397,398,Nagaland,2012,2349184,1070693,1278491,71.6,77.41,65.41,1682016,828823,836261,"16,579",716,2001,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1234
398,399,Manipur,2012,2821703,1333844,1487859,73.47,83.99,63.07,2073105,1120296,938393,"22,327",735,2001,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,2489
399,400,Mizoram,2012,1052611,521975,530635,94.41,97.82,90.99,993770,510596,482825,"21,081",944,2001,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,2246
