,S.no,State,Year ,Total Population,Male Population,Female Population,Total_Literacy in %,Males_Literacy in %,Females_Literacy in %,Total Literacy,Male Literacy,Female Literacy,Area in SQKM,Literacy Rate,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
273,274,Karnataka,2008,58983250,28298425,30684825,69.86,80.05,59.49,41205698,22652889,18254402,"191,791",699,2001,1626,1475,74,293,0,293,559,271,288,178,36,847,6394,12868,4016,8852,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,109098
274,275,Goa,2008,1503270,701612,801657,85.78,93.26,78.19,1289505,654323,626816,"3,702",858,2001,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,2341
275,276,Lakshadweep,2008,67776,31667,36109,91.2,97.74,84.46,61812,30951,30498,32,912,2001,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36
276,277,Kerala,2008,35611687,15741404,19870283,94.74,98.85,90.98,33738512,15560378,18077983,"38,863",947,2001,472,615,111,562,0,562,183,97,86,176,13,517,4474,5441,1795,3646,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,103847
277,278,Tamil Nadu,2008,69471348,32947660,36523688,76.56,86.39,66.84,53187264,28463483,24412433,"130,058",766,2001,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,154801
278,279,Pondicherry,2008,1089234,536823,552410,84.92,93.27,76.76,924978,500695,424030,479,849,2001,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068
279,280,Andaman & Nicobar Islands*,2008,398485,196388,202097,84.59,90.31,77.97,337078,177358,157575,8249,846,2001,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,658
280,281,Jammu and Kashmir,2009,11420949,5812908,5608040,57.08,69.47,43.52,6519078,4038227,2440619,"42,241",571,2001,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,19505
281,282,Himachal Pradesh,2009,6892603,3251971,3640632,80.85,90.88,70.85,5572670,2955391,2579388,"55,673",809,2001,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,11499
282,283,Punjab,2009,27548072,13663849,13884223,73.32,79.91,66.14,20198246,10918782,9183025,"50,362",733,2001,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,27774
283,284,Chandigarh,2009,1021785,546423,475362,85.7,90.49,79.77,875670,494458,379196,114,857,2001,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397
284,285,Uttaranchal,2009,9617223,4674044,4943180,75.76,88.76,62.71,7286008,4148681,3099868,20650,758,2001,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,8073
285,286,Haryana,2009,23911591,12422548,11489042,71.9,83.73,58.6,17192434,10401399,6732579,"44,212",719,2001,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,38759
286,287,Delhi,2009,15632171,8302665,7329506,85.76,92.31,78.05,13406150,7664190,5720679,1484,858,2001,547,510,63,381,0,381,1627,964,663,48,74,624,3029,19276,7894,11382,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384
287,288,Rajasthan,2009,64049845,32451632,31598213,63.97,80.78,46.14,40972686,26214428,14579415,"342,239",640,2001,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,155185
288,289,Uttar Pradesh,2009,188331359,95920476,92410883,60.12,74.2,44.73,113224813,71172993,41335388,"240,928",601,2001,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129
289,290,Bihar,2009,93998239,47662953,46335285,49.82,63.73,34.94,46829923,30375600,16189549,"94,163",498,2001,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,88432
290,291,Sikkim,2009,613008,303791,309217,73.04,81.07,63.96,447741,246283,197775,"7,096",730,2001,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,444
291,292,Arunachal Pradesh,2009,1237507,629427,608080,57.38,67.69,46.04,710082,426059,279960,"83,743",574,2001,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342
292,293,Nagaland,2009,2255442,1062703,1192739,70.34,75.83,64.44,1586478,805848,768601,"16,579",703,2001,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1234
